population,foreign_born,median_income,year,state_fips,county_fips,black_afam,unemp_rate,snap_benefits,health_insurance_rate,vacant_housing_rate,rental_vacancy_rate,renter_occupied_rate,median_home_price,median_rent,disaster_number,state,declaration_date,incident_type,disaster_name,incident_begin_date,incident_end_date,total_approved_ihp,total_approved_ha,total_approved_ona,total_obligated_pa,total_obligated_c2g,total_obligated_hmgp,aid_requested,aid_obligated,total_approved,total_obligated,aid_per_capita
936961,6.643179385267903,27344.0,2017,47,157,53.5,4.5,17.4,89.6,14.4,8.8,44.8,148600,905,4320.0,TN,2017-06-23T19:20:00.000Z,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-27T12:00:01.000Z,2017-05-28T23:59:00.000Z,0.0,0.0,0.0,31960035.13,16679126.58,2214976.25,29473.5,29473.5,0.0,50854137.96,0.03145648538199562
1958578,13.140094497130061,26832.0,2017,48,029,7.8,3.4,12.6,84.9,8.7,9.3,41.1,160100,950,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,10942630.610000001,10942630.610000001,3313863361.0,4532580124.22,5.587028247024117
1958578,13.140094497130061,26832.0,2017,48,029,7.8,3.4,12.6,84.9,8.7,9.3,41.1,160100,950,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,0.0,0.0,3313863361.0,4532580124.22,0.0
1958578,13.140094497130061,26832.0,2017,48,029,0.0,5.4,16.7,80.1,9.4,8.3,-888888888.0,354688,232698,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,10942630.610000001,10942630.610000001,3313863361.0,4532580124.22,5.587028247024117
1958578,13.140094497130061,26832.0,2017,48,029,0.0,5.4,16.7,80.1,9.4,8.3,-888888888.0,354688,232698,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,0.0,0.0,3313863361.0,4532580124.22,0.0
362457,13.491255514447232,37112.0,2017,48,039,14.3,3.3,9.7,87.9,12.2,9.7,27.5,195200,1125,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,2649.16,2649.16,3313863361.0,4532580124.22,0.007308894572321682
362457,13.491255514447232,37112.0,2017,48,039,14.3,3.3,9.7,87.9,12.2,9.7,27.5,195200,1125,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,15472.61,15472.61,3313863361.0,4532580124.22,0.04268812576388372
362457,13.491255514447232,37112.0,2017,48,039,14.3,3.3,9.7,87.9,12.2,9.7,27.5,195200,1125,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,56504.98,56504.98,3313863361.0,4532580124.22,0.15589429918583447
362457,13.491255514447232,37112.0,2017,48,039,14.3,3.3,9.7,87.9,12.2,9.7,27.5,195200,1125,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,703371.13,703371.13,3313863361.0,4532580124.22,1.9405643428048016
141009,4.553610053259012,36688.0,2017,48,091,1.9,2.3,4.9,89.7,10.8,10.4,24.1,282300,1107,4332.0,TX,2017-08-25T21:35:00.000Z,Hurricane,HURRICANE HARVEY,2017-08-23T08:09:52.000Z,2017-09-15T23:59:00.000Z,1656931680.5,1243286150.2,413645530.3,2867119739.67,1333790296.02,331670088.53,0.0,0.0,3313863361.0,4532580124.22,0.0
